Property ID,Property Name,Location,Type,Price,Date Listed,Date Sold,Sale Price,Sq Ft,Bedrooms,Bathrooms,Building Type,Year Built,Floor Level,Parking Spaces,Agent Name,Agent Contact Info,Property Status,Property Features
1050,Property 1050,Dallas,Commercial,942378,28-09-2024,,,1162,3,4,Detached,2002,,1,Jane Smith,555-4328,Available,Sauna
1051,Property 1051,Houston,House,689096,02-05-2024,,,4297,2,3,Condo,2022,4,2,Kevin Martinez,555-9899,Available,Garage
1052,Property 1052,Fort Worth,House,364074,21-06-2024,,,1437,5,5,Detached,2008,,1,Michael Green,555-5035,Available,Sauna|Barn|Gym
1053,Property 1053,Austin,Apartment,448458,01-06-2024,21-11-2024,460358,4694,5,4,Office Building,2016,7,3,Michael Green,555-1033,Sold,Fireplace
1054,Property 1054,Houston,Commercial,594315,11-03-2024,,,4588,4,5,Detached,2004,,3,Alice White,555-5550,Available,Fireplace|Garage|Barn
1055,Property 1055,Austin,Apartment,354502,28-09-2024,15-08-2024,376565,3681,3,3,Office Building,2002,7,4,Michael Green,555-5508,Sold,Garden|Barn|Fireplace
1056,Property 1056,San Antonio,House,404671,28-11-2024,,,2305,3,2,Ranch,2003,4,1,John Doe,555-7024,Available,Sauna
1057,Property 1057,Austin,Apartment,915042,10-01-2024,,,3523,2,2,Office Building,2015,7,2,Alice White,555-1536,Available,Gym
1058,Property 1058,Dallas,Apartment,599153,28-04-2024,12-08-2024,640660,1120,6,5,Condo,2007,9,3,Alice White,555-3231,Sold,Pool|Sauna|Garden
1059,Property 1059,Houston,Apartment,942222,26-01-2024,,,2017,6,5,Ranch,2016,6,3,Jane Smith,555-1260,Available,Elevator
1060,Property 1060,San Antonio,House,566746,26-09-2024,,,1398,6,4,Ranch,2020,6,3,Alice White,555-7914,Available,Elevator
1061,Property 1061,San Antonio,House,419353,02-03-2024,,,3973,5,3,Detached,2004,,3,Michael Green,555-1407,Available,Pool|Gym|Fireplace|Elevator
1062,Property 1062,Dallas,House,981898,02-03-2024,23-05-2024,1017231,1687,2,3,Detached,2015,,2,Robert Black,555-6955,Sold,Gym
1063,Property 1063,Fort Worth,Commercial,590415,05-05-2024,22-07-2024,633789,1894,4,2,Ranch,2005,7,3,Kevin Martinez,555-6348,Sold,Barn|Fireplace|Garage|Garden
1064,Property 1064,San Antonio,Apartment,829559,15-06-2024,,,3692,5,5,Office Building,2008,4,2,John Doe,555-9060,Available,Fireplace|Gym|Pool|Sauna
1065,Property 1065,San Antonio,Commercial,381283,27-11-2024,,,1819,2,3,Detached,2000,,1,Sarah Johnson,555-4522,Available,Barn|Fireplace|Sauna|Garden
1066,Property 1066,San Antonio,Apartment,664053,08-12-2024,,,3681,3,5,Office Building,2011,7,1,John Doe,555-5731,Available,Garden|Elevator|Pool|Barn
1067,Property 1067,Houston,Commercial,756203,05-07-2024,,,4889,4,3,Condo,2008,7,1,Jane Smith,555-4112,Available,Gym
1068,Property 1068,Austin,Commercial,958984,07-06-2024,,,1374,6,4,Ranch,2001,3,3,Sarah Johnson,555-2626,Available,Barn|Pool|Gym|Sauna
1069,Property 1069,Dallas,Commercial,844015,14-02-2024,23-06-2024,864306,2249,2,3,Office Building,2022,2,4,Kevin Martinez,555-9357,Sold,Garden|Sauna
1070,Property 1070,Houston,Apartment,421420,15-06-2024,11-05-2024,447700,2207,5,2,Ranch,2018,2,1,Sarah Johnson,555-8491,Sold,Elevator|Sauna|Gym|Garage
1071,Property 1071,Houston,House,308316,06-01-2024,,,2725,5,2,Office Building,2021,5,4,Michael Green,555-9688,Available,Gym|Garden
1072,Property 1072,San Antonio,House,481134,16-06-2024,,,3438,4,4,Detached,2002,,3,Jane Smith,555-7465,Available,Garden|Gym
1073,Property 1073,Dallas,House,662391,14-05-2024,30-07-2024,700659,4532,4,5,Condo,2020,5,1,Alice White,555-1909,Sold,Garden|Gym|Elevator
1074,Property 1074,Dallas,Commercial,651629,29-06-2024,,,2260,4,3,Condo,2023,9,4,Kevin Martinez,555-7208,Available,Garage
1075,Property 1075,Fort Worth,Commercial,637499,15-10-2024,,,3331,3,5,Condo,2010,10,1,Laura Taylor,555-4009,Available,Gym
1076,Property 1076,San Antonio,Commercial,713273,29-02-2024,,,3450,3,4,Condo,2012,1,3,Sarah Johnson,555-2303,Available,Barn
1077,Property 1077,San Antonio,Apartment,778885,04-07-2024,,,4019,5,4,Condo,2014,1,4,Emily Brown,555-7694,Available,Garage|Garden|Gym|Barn
1078,Property 1078,San Antonio,Apartment,524826,02-05-2024,,,1458,4,5,Detached,2010,,1,Robert Black,555-4031,Available,Garage|Elevator
1079,Property 1079,San Antonio,House,804639,03-10-2024,,,1162,6,2,Ranch,2001,7,4,Alice White,555-2741,Available,Garden|Pool
1080,Property 1080,Dallas,Apartment,832258,20-04-2024,,,4338,6,2,Ranch,2009,9,1,John Doe,555-4820,Available,Pool|Barn|Garden
1081,Property 1081,Houston,Commercial,311942,06-11-2024,01-11-2024,353780,3467,4,2,Condo,2019,7,1,Jane Smith,555-4794,Sold,Gym|Sauna|Barn
1082,Property 1082,Austin,Apartment,324221,11-05-2024,01-10-2024,345215,1667,4,4,Condo,2017,10,1,Michael Green,555-7160,Sold,Garage
1083,Property 1083,San Antonio,Apartment,880717,06-08-2024,,,1118,2,5,Office Building,2000,5,4,Jane Smith,555-4249,Available,Gym|Sauna|Fireplace|Elevator
1084,Property 1084,Houston,Commercial,644807,04-01-2024,09-04-2024,673430,4445,5,4,Ranch,2020,1,4,David Lee,555-6806,Sold,Barn|Garage|Garden|Gym
1085,Property 1085,Houston,House,472191,23-06-2024,,,1249,6,5,Condo,2005,9,4,Robert Black,555-3484,Available,Sauna|Garage
1086,Property 1086,Fort Worth,Commercial,431070,11-03-2024,,,2009,6,2,Office Building,2014,5,1,John Doe,555-3743,Available,Garage|Gym
1087,Property 1087,San Antonio,Apartment,706837,02-10-2024,,,1244,2,4,Ranch,2020,9,2,Alice White,555-8054,Available,Garage|Sauna|Fireplace
1088,Property 1088,Fort Worth,Commercial,814372,28-04-2024,17-08-2024,835150,1612,5,5,Office Building,2012,6,2,Sarah Johnson,555-5704,Sold,Pool|Fireplace|Gym|Sauna
1089,Property 1089,Fort Worth,Commercial,370947,08-08-2024,,,1906,4,5,Office Building,2007,4,4,Kevin Martinez,555-5069,Available,Elevator|Fireplace
1090,Property 1090,Fort Worth,Commercial,349522,25-11-2024,12-10-2024,369566,4543,5,5,Ranch,2008,8,4,David Lee,555-2507,Sold,Barn|Gym
1091,Property 1091,San Antonio,Commercial,963122,27-04-2024,05-05-2024,986062,2064,3,3,Office Building,2001,10,4,Michael Green,555-8682,Sold,Garden
1092,Property 1092,San Antonio,Apartment,305555,23-05-2024,25-08-2024,326053,2565,3,2,Office Building,2000,6,2,John Doe,555-1613,Sold,Pool|Barn|Gym
1093,Property 1093,Dallas,Apartment,414118,15-05-2024,19-03-2024,437328,2571,6,4,Condo,2015,8,4,Michael Green,555-5048,Sold,Elevator
1094,Property 1094,Fort Worth,Apartment,991215,23-02-2024,,,1690,3,3,Detached,2020,,3,Laura Taylor,555-4756,Available,Elevator
1095,Property 1095,Austin,Apartment,998822,09-06-2024,20-10-2024,1043883,2513,3,5,Condo,2005,4,3,Alice White,555-2085,Sold,Garage
1096,Property 1096,Austin,House,911549,30-09-2024,04-12-2024,941362,2104,5,2,Detached,2005,,2,Emily Brown,555-3934,Sold,Garage|Garden|Pool|Barn
1097,Property 1097,San Antonio,Commercial,711652,18-02-2024,10-05-2024,742017,2705,5,4,Detached,2006,,1,Robert Black,555-9053,Sold,Garage|Fireplace|Gym
1098,Property 1098,San Antonio,House,921362,07-10-2024,,,3655,4,5,Detached,2008,,2,Robert Black,555-9662,Available,Pool|Sauna|Garden
1099,Property 1099,Houston,Commercial,816278,21-07-2024,,,3233,3,4,Office Building,2023,4,2,Jane Smith,555-9394,Available,Garden|Garage|Sauna
1100,Property 1100,Fort Worth,House,372812,10-07-2024,06-12-2024,408926,3254,3,5,Detached,2012,,1,Sarah Johnson,555-1345,Sold,Sauna|Elevator|Garage
1101,Property 1101,Dallas,Commercial,392190,15-10-2024,26-03-2024,440106,1215,3,3,Condo,2020,7,1,Sarah Johnson,555-3780,Sold,Garage|Barn|Sauna|Garden
1102,Property 1102,Austin,Commercial,376017,29-03-2024,,,2255,5,3,Ranch,2017,6,3,Sarah Johnson,555-4001,Available,Elevator
1103,Property 1103,Austin,Apartment,707641,03-03-2024,,,2665,6,5,Ranch,2022,3,4,Sarah Johnson,555-3059,Available,Pool|Garage|Elevator
1104,Property 1104,Austin,Apartment,649268,20-08-2024,13-04-2024,697073,2035,2,4,Detached,2005,,3,Laura Taylor,555-3633,Sold,Sauna|Garage
1105,Property 1105,San Antonio,Apartment,965868,15-08-2024,05-11-2024,991727,3473,4,2,Condo,2002,7,2,Michael Green,555-9639,Sold,Barn|Elevator|Garden|Pool
1106,Property 1106,Dallas,Commercial,742256,29-07-2024,26-01-2024,777309,4104,2,5,Office Building,2005,10,2,Emily Brown,555-9848,Sold,Pool
1107,Property 1107,Dallas,Apartment,519702,15-10-2024,,,3545,5,3,Office Building,2001,8,1,David Lee,555-9982,Available,Fireplace|Barn|Sauna|Pool
1108,Property 1108,San Antonio,Commercial,350108,06-03-2024,,,2428,3,4,Detached,2009,,3,Kevin Martinez,555-8471,Available,Garage
1109,Property 1109,Fort Worth,Apartment,443932,20-04-2024,27-06-2024,469610,1107,6,2,Office Building,2017,4,2,Jane Smith,555-4353,Sold,Garage|Elevator|Pool
1110,Property 1110,Austin,Apartment,541113,22-11-2024,,,3012,2,3,Ranch,2003,8,3,Michael Green,555-4012,Available,Barn|Fireplace|Garden
1111,Property 1111,Fort Worth,Apartment,546329,06-11-2024,28-07-2024,565654,4995,4,5,Condo,2003,1,2,Robert Black,555-9615,Sold,Garden|Pool|Fireplace
1112,Property 1112,Dallas,Commercial,570525,25-01-2024,12-04-2024,588314,2458,2,5,Ranch,2012,10,1,Sarah Johnson,555-6166,Sold,Pool|Elevator|Fireplace
1113,Property 1113,Houston,Apartment,697682,22-11-2024,02-11-2024,747092,1781,4,3,Detached,2006,,4,Sarah Johnson,555-7855,Sold,Pool
1114,Property 1114,Fort Worth,House,565076,24-02-2024,24-06-2024,583695,4125,5,5,Detached,2022,,4,Jane Smith,555-2354,Sold,Elevator|Fireplace|Garage
1115,Property 1115,Houston,Apartment,700354,14-03-2024,,,2187,6,4,Detached,2002,,2,Emily Brown,555-8690,Available,Fireplace|Garage|Garden|Sauna
1116,Property 1116,Fort Worth,Apartment,552374,24-04-2024,,,1864,4,3,Detached,2013,,2,Alice White,555-6665,Available,Fireplace
1117,Property 1117,San Antonio,Apartment,665781,05-08-2024,,,4511,5,4,Condo,2022,10,1,John Doe,555-6610,Available,Fireplace|Gym|Sauna
1118,Property 1118,Houston,Commercial,907199,26-02-2024,26-07-2024,933974,2426,5,4,Office Building,2000,7,2,Robert Black,555-8577,Sold,Gym|Barn|Fireplace
1119,Property 1119,Fort Worth,Commercial,333112,08-10-2024,,,2602,3,3,Detached,2000,,1,Jane Smith,555-8123,Available,Gym|Garden|Pool
1120,Property 1120,Dallas,Apartment,847872,14-12-2024,16-03-2024,858691,1843,2,5,Condo,2010,6,4,Jane Smith,555-7732,Sold,Garage|Barn|Fireplace|Gym
1121,Property 1121,Dallas,House,860651,14-02-2024,,,2396,3,5,Ranch,2004,8,1,Alice White,555-3457,Available,Garage
1122,Property 1122,Austin,Apartment,560813,08-03-2024,18-01-2024,608506,2866,6,2,Condo,2007,10,1,Sarah Johnson,555-2475,Sold,Fireplace
1123,Property 1123,Dallas,Apartment,686118,08-03-2024,23-06-2024,704022,3363,6,4,Ranch,2019,3,1,Kevin Martinez,555-1536,Sold,Pool|Gym
1124,Property 1124,Houston,House,971193,02-12-2024,,,1150,4,2,Office Building,2003,7,1,Kevin Martinez,555-7335,Available,Gym|Elevator|Garden
1125,Property 1125,San Antonio,House,502707,20-11-2024,,,3805,3,3,Office Building,2016,3,1,David Lee,555-1224,Available,Fireplace|Garage|Garden|Pool
1126,Property 1126,Fort Worth,House,670924,07-07-2024,19-05-2024,687396,4308,2,3,Ranch,2010,3,4,David Lee,555-2871,Sold,Pool|Fireplace
1127,Property 1127,Houston,Apartment,449740,13-10-2024,,,3010,4,3,Condo,2005,2,2,Laura Taylor,555-5477,Available,Garage
1128,Property 1128,Dallas,Apartment,942605,21-12-2023,31-12-2023,970505,1591,5,5,Detached,2010,,4,Jane Smith,555-3222,Sold,Pool|Barn|Sauna|Gym
1129,Property 1129,Austin,Apartment,775444,21-09-2024,,,3787,6,4,Condo,2016,1,3,Robert Black,555-2976,Available,Garage|Garden
1130,Property 1130,Houston,Apartment,536327,29-11-2024,,,3881,5,4,Detached,2000,,2,Laura Taylor,555-5708,Available,Gym|Pool|Elevator|Fireplace
1131,Property 1131,Dallas,House,431448,12-04-2024,16-12-2024,441929,2547,2,5,Ranch,2002,7,2,Emily Brown,555-9076,Sold,Fireplace|Barn|Pool|Sauna
1132,Property 1132,San Antonio,Commercial,325178,11-11-2024,11-04-2024,349331,2705,4,4,Detached,2011,,4,Jane Smith,555-1077,Sold,Barn
1133,Property 1133,San Antonio,Commercial,382374,21-10-2024,,,2287,5,2,Condo,2014,5,2,Kevin Martinez,555-5079,Available,Pool|Barn|Garden|Elevator
1134,Property 1134,San Antonio,House,799297,25-11-2024,,,2842,5,4,Detached,2013,,2,Alice White,555-6350,Available,Gym
1135,Property 1135,Houston,Commercial,891717,28-11-2024,,,2955,4,3,Office Building,2021,4,4,David Lee,555-1048,Available,Garden|Barn|Fireplace|Garage
1136,Property 1136,Dallas,House,761189,11-08-2024,11-03-2024,771343,2265,2,4,Office Building,2015,1,3,Kevin Martinez,555-7737,Sold,Sauna|Pool|Fireplace
1137,Property 1137,Fort Worth,Commercial,586729,23-07-2024,,,1870,3,3,Office Building,2004,6,1,Sarah Johnson,555-7652,Available,Sauna|Fireplace
1138,Property 1138,Houston,House,938832,04-05-2024,,,2998,5,4,Office Building,2007,7,2,Alice White,555-9869,Available,Pool|Gym|Sauna
1139,Property 1139,Fort Worth,Apartment,892516,07-06-2024,27-07-2024,929548,2948,6,4,Ranch,2005,10,1,Sarah Johnson,555-1378,Sold,Barn
1140,Property 1140,San Antonio,House,553633,11-07-2024,01-09-2024,590100,2247,6,2,Ranch,2007,5,1,Laura Taylor,555-1959,Sold,Sauna|Garden|Garage|Barn
1141,Property 1141,Dallas,House,335855,01-08-2024,13-12-2024,349016,3275,4,4,Ranch,2006,2,3,Laura Taylor,555-3151,Sold,Garden
1142,Property 1142,San Antonio,Commercial,589729,14-03-2024,,,1774,4,3,Ranch,2003,6,2,Sarah Johnson,555-3584,Available,Gym
1143,Property 1143,Austin,House,898705,27-08-2024,,,2027,3,4,Ranch,2014,5,4,Alice White,555-9619,Available,Gym|Garden
1144,Property 1144,Dallas,Commercial,639380,28-10-2024,,,4594,5,3,Ranch,2002,4,3,Emily Brown,555-7441,Available,Gym|Pool
1145,Property 1145,San Antonio,Commercial,650038,10-01-2024,14-05-2024,693206,4121,2,4,Condo,2022,2,3,Michael Green,555-1390,Sold,Gym
1146,Property 1146,Houston,Apartment,546552,15-06-2024,,,2437,3,4,Office Building,2023,7,2,Jane Smith,555-6490,Available,Barn
1147,Property 1147,San Antonio,House,963953,23-12-2023,,,4908,6,2,Detached,2018,,2,Robert Black,555-3374,Available,Pool|Garden|Garage
1148,Property 1148,San Antonio,Commercial,510260,29-10-2024,13-06-2024,554727,4560,3,2,Office Building,2004,5,1,David Lee,555-7212,Sold,Garage|Sauna
1149,Property 1149,Fort Worth,Commercial,310575,30-06-2024,,,1576,3,4,Detached,2020,,2,Laura Taylor,555-3455,Available,Fireplace|Garden|Garage|Elevator
1150,Property 1150,San Antonio,House,399956,02-10-2024,14-01-2024,436939,3306,3,3,Office Building,2005,9,1,John Doe,555-6505,Sold,Fireplace|Elevator
1151,Property 1151,Houston,Apartment,842851,13-08-2024,17-05-2024,879136,1153,5,4,Detached,2015,,2,Michael Green,555-3606,Sold,Pool|Garage
1152,Property 1152,Houston,Apartment,353329,16-03-2024,03-06-2024,381888,3129,4,4,Condo,2014,5,3,Kevin Martinez,555-4593,Sold,Elevator|Sauna|Pool|Fireplace
1153,Property 1153,Austin,Apartment,820507,16-07-2024,,,1139,5,3,Ranch,2019,4,3,Kevin Martinez,555-3048,Available,Barn|Sauna|Garage|Garden
1154,Property 1154,Dallas,Commercial,792937,05-04-2024,,,3723,5,4,Detached,2021,,4,David Lee,555-8011,Available,Garden|Garage|Pool
1155,Property 1155,Dallas,Apartment,566626,25-06-2024,,,2552,5,4,Condo,2008,3,4,Sarah Johnson,555-7830,Available,Garden|Sauna
1156,Property 1156,Dallas,House,340104,02-08-2024,,,1676,3,2,Office Building,2007,10,3,Sarah Johnson,555-7788,Available,Garden|Sauna
1157,Property 1157,Dallas,Apartment,684510,07-06-2024,,,2162,3,5,Office Building,2022,2,1,Kevin Martinez,555-3739,Available,Fireplace|Garage
1158,Property 1158,San Antonio,Commercial,349039,07-12-2024,,,4369,2,3,Ranch,2023,2,2,David Lee,555-3251,Available,Sauna|Fireplace|Pool
1159,Property 1159,Fort Worth,House,833686,24-04-2024,,,2943,2,2,Ranch,2011,2,1,Jane Smith,555-2260,Available,Sauna|Fireplace
1160,Property 1160,Houston,Commercial,532089,05-02-2024,,,4163,6,3,Ranch,2021,1,4,Laura Taylor,555-5567,Available,Barn|Fireplace
1161,Property 1161,Fort Worth,House,846141,08-02-2024,,,2379,5,5,Ranch,2014,6,4,Laura Taylor,555-2056,Available,Barn
1162,Property 1162,Austin,Apartment,977579,13-01-2024,,,3410,3,4,Detached,2013,,3,Laura Taylor,555-5041,Available,Pool|Sauna|Garage
1163,Property 1163,Dallas,Apartment,550341,06-04-2024,,,4949,3,4,Ranch,2004,4,3,Alice White,555-1783,Available,Garage|Barn
1164,Property 1164,Austin,Commercial,796175,23-12-2023,,,2325,2,2,Office Building,2010,7,4,John Doe,555-3953,Available,Elevator
1165,Property 1165,Fort Worth,House,747221,22-03-2024,,,4367,5,4,Ranch,2003,1,2,Sarah Johnson,555-4978,Available,Garage|Barn|Gym
1166,Property 1166,Dallas,House,671772,05-10-2024,24-08-2024,709042,2838,5,4,Detached,2023,,1,Sarah Johnson,555-2875,Sold,Garden
1167,Property 1167,San Antonio,Commercial,478983,08-05-2024,,,1322,2,2,Detached,2003,,4,Robert Black,555-1557,Available,Garage
1168,Property 1168,Dallas,Apartment,560964,26-01-2024,,,2341,2,5,Office Building,2006,2,2,Sarah Johnson,555-7116,Available,Pool|Gym
1169,Property 1169,Austin,Apartment,502853,25-02-2024,,,4220,3,2,Detached,2020,,4,Sarah Johnson,555-4987,Available,Garden
1170,Property 1170,Dallas,House,573865,08-11-2024,,,2435,6,2,Ranch,2014,8,2,Laura Taylor,555-2718,Available,Sauna
1171,Property 1171,Austin,Commercial,421507,08-07-2024,,,1562,6,5,Condo,2011,7,4,Alice White,555-1726,Available,Garden|Garage
1172,Property 1172,Houston,Apartment,789518,09-11-2024,18-03-2024,822405,1059,6,5,Office Building,2009,5,2,Robert Black,555-7024,Sold,Pool
1173,Property 1173,Dallas,House,415781,15-03-2024,07-09-2024,432025,3668,6,4,Detached,2018,,4,Laura Taylor,555-3933,Sold,Gym|Pool|Garden|Elevator
1174,Property 1174,Austin,House,431837,18-07-2024,,,2154,4,4,Detached,2018,,2,John Doe,555-2069,Available,Gym|Sauna
1175,Property 1175,Houston,Commercial,671696,11-06-2024,29-08-2024,710087,3365,5,3,Condo,2001,10,1,Laura Taylor,555-9936,Sold,Elevator|Pool|Barn|Gym
1176,Property 1176,Houston,Commercial,682333,11-05-2024,02-05-2024,728807,3534,4,5,Ranch,2007,3,4,Robert Black,555-3139,Sold,Gym|Fireplace|Elevator
